"","TOC","BD_fine","depth"
"6985",7.573,0.96,10
"6986",0.134,1.67,100
"6987",0.936,1.43,50
"6988",1.121,1.36,10
"6989",0.536,1.53,10
"6990",0.224,1.75,70
"6991",1.154,1.42,40
"6992",1.017,1.71,35
"6993",1.314,1.19,10
"6994",1.146,1.42,10
"6995",0.183,1.69,100
"6996",0.225,1.74,70
"6997",0.627,1.63,50
"6998",0.235,1.55,70
"6999",0.813,1.78,10
"7000",0.245,1.74,100
"7001",0.885,1.54,30
"7002",0.827,1.44,70
"7003",1.834,1.59,20
"7004",3.948,0.92,20
"7005",1.816,1.16,70
"7006",0.919,1.43,30
"7007",0.124,1.66,100
"7008",1.207,1.59,30
"7009",0.23,1.71,70
"7010",2.144,1.08,10
"7011",1.019,1.46,62
"7012",1.495,1.15,25
"7013",1.256,1.52,30
"7014",1.864,0.96,10
"7015",0.036,1.34,90
"7016",1.21,1.43,10
"7017",0.948,1.37,50
"7018",0.568,1.54,50
"7019",0.246,1.7,70
"7020",0.151,1.72,100
"7021",0.615,1.58,30
"7022",1.246,1.29,10
"7023",0.57,1.62,50
"7024",0.183,1.81,70
"7025",0.366,1.46,50
"7026",0.059,1.35,100
"7027",0.784,1.36,100
"7028",0.953,1.64,30
"7029",0.276,1.57,70
"7030",1.269,1.16,20
"7031",1.936,1.32,30
"7032",0.167,1.56,70
"7033",0.18,1.78,70
"7034",0.341,1.48,50
"7035",0.056,1.68,70
"7036",0.651,1.57,50
"7037",1.202,1.49,17
"7038",2.022,1.31,10
"7039",1.28,1.7,30
"7040",1.102,1.53,30
"7041",0.739,1.44,50
"7042",2.313,1.26,10
"7043",1.188,1.21,10
"7044",0.965,1.5,10
"7045",0.084,1.68,70
"7046",0.948,1.48,50
"7047",2.884,1.07,10
"7048",0.199,1.62,100
"7049",1.391,1.33,10
"7050",0.372,1.48,50
"7051",0.233,1.75,100
"7052",1.779,1.19,10
"7053",0.092,1.67,100
"7054",0.212,1.64,70
"7055",0.704,1.75,20
"7056",1.147,1.13,10
"7057",0.07,1.44,70
"7058",0.128,1.6,50
"7059",0.269,1.54,70
"7060",1.16,1.7,24
"7061",1.786,1.48,50
"7062",0.579,1.31,10
"7063",0.999,1.42,30
"7064",0.457,1.61,50
"7065",1.074,1.62,30
"7066",0.196,1.38,90
"7067",3.485,1.08,10
"7068",0.599,1.57,42
"7069",0.049,1.91,70
"7070",1.117,1.4,10
"7071",2.552,1.28,10
"7072",0.205,1.59,70
"7073",1.056,1.34,10
"7074",1.395,1.15,10
"7075",2.119,1.11,10
"7076",0.353,1.65,100
"7077",0.197,1.57,50
"7078",0.369,1.61,70
"7079",0.625,1.59,70
"7080",1.155,1.46,10
"7081",1.872,1.2,18
"7082",1.129,1.46,30
"7083",2.155,1.59,30
"7084",2.323,1.33,30
"7085",1.35,1.57,10
"7086",0.168,1.73,70
"7087",0.871,1.35,10
"7088",1.045,1.65,30
"7089",0.154,1.68,100
"7090",0.807,1.82,30
"7091",0.097,1.81,100
"7092",0.77,1.51,40
"7093",0.259,1.62,100
"7094",0.12,1.65,100
"7095",1.32,1.34,10
"7096",0.291,1.39,80
"7097",0.614,1.4,90
"7098",1.266,1.49,20
"7099",1.197,1.4,10
"7100",1.495,1.35,30
"7101",0.501,1.43,70
"7102",0.677,1.46,10
"7103",0.151,1.69,88
"7104",0.16,1.75,70
"7105",0.1,1.78,100
"7106",0.789,1.67,30
"7107",1.005,1.37,90
"7108",2.966,1.38,10
"7109",0.173,1.53,100
"7110",1.544,1.42,30
"7111",0.589,1.57,30
"7112",2.019,1.2,10
"7113",1.495,1.11,10
"7114",7.028,0.66,50
"7115",0.454,1.5,50
"7116",2.149,1.33,10
"7117",0.863,1.69,30
"7118",0.093,1.71,100
"7119",0.101,1.69,100
"7120",0.827,1.63,30
"7121",0.817,1.5,10
"7122",1.156,1.47,10
"7123",1.696,1.25,10
"7124",0.288,1.64,100
"7125",0.253,1.59,70
"7126",0.029,1.75,100
"7127",0.454,1.47,70
"7128",1.147,1.47,30
"7129",0.425,1.49,70
"7130",0.395,1.54,50
"7131",0.631,1.42,10
"7132",2.799,1.32,30
"7133",0.201,1.49,80
"7134",1.794,1.44,22
"7135",1.746,1.57,30
"7136",0.409,1.57,30
"7137",0.096,1.87,85
"7138",0.838,1.51,30
"7139",0.115,1.71,100
"7140",0.115,1.69,82
"7141",0.732,1.52,40
"7142",0.979,1.36,10
"7143",1.769,1.4,30
"7144",0.948,1.59,30
"7145",0.091,1.74,100
"7146",0.914,1.52,100
"7147",0.181,1.45,100
"7148",0.385,1.63,100
"7149",1.7,1.23,10
"7150",1.121,1.52,30
"7151",0.2,1.64,100
"7152",0.29,1.6,70
"7153",0.125,1.64,100
"7154",0.155,1.55,60
"7155",0.155,1.63,80
"7156",0.166,1.72,50
"7157",0.344,1.48,60
"7158",1.502,1.45,20
"7159",0.285,1.78,50
"7160",0.169,1.64,70
"7161",0.383,1.5,100
"7162",2.045,1.45,10
"7163",0.061,1.81,100
"7164",0.289,1.53,70
"7165",0.172,1.66,70
"7166",0.061,1.8,100
"7167",0.254,1.72,70
"7168",0.058,1.52,100
"7169",1.115,1.36,10
"7170",0.516,1.54,50
"7171",0.209,1.42,100
"7172",1.394,1.06,10
"7173",0.898,1.51,30
"7174",0.417,1.58,60
"7175",2.534,1.25,30
"7176",2.506,1.2,10
"7177",0.47,1.58,50
"7178",0.995,1.58,100
"7179",0.822,1.64,30
"7180",0.551,1.68,100
"7181",0.244,1.71,50
"7182",0.384,1.38,70
"7183",0.549,1.66,30
"7184",0.156,1.51,100
"7185",0.228,1.69,50
"7186",0.178,1.63,50
"7187",1.576,1.41,10
"7188",0.787,1.55,30
"7189",0.46,1.38,100
"7190",1.691,1.31,30
"7191",1.76,1.43,70
"7192",0.137,1.68,100
"7193",0.21,1.63,100
"7194",0.716,1.69,30
"7195",0.368,1.63,40
"7196",1.628,1.41,30
"7197",0.847,1.33,50
"7198",0.73,1.49,50
"7199",0.821,1.42,50
"7200",0.617,1.53,39
"7201",1.275,1.6,30
"7202",1.57,1.44,30
"7203",0.613,1.49,70
"7204",0.269,1.41,70
"7205",1.244,1.25,38
"7206",0.645,1.5,50
"7207",1.611,1.36,30
"7208",2.367,1.17,10
"7209",2.183,1.15,10
"7210",2.075,1.41,30
"7211",0.175,1.77,70
"7212",0.811,1.53,30
"7213",0.025,1.52,100
"7214",0.555,1.67,30
"7215",0.304,1.45,100
"7216",0.779,1.55,62
"7217",0.038,1.8,100
"7218",0.074,1.75,50
"7219",1.644,1.26,10
"7220",0.177,1.56,70
"7221",2.193,1.05,10
"7222",0.11,1.54,50
"7223",2.073,1.31,10
"7224",0.661,1.46,50
"7225",0.542,1.47,100
"7226",0.481,1.69,40
"7227",0.158,1.61,100
"7228",0.832,1.71,30
"7229",0.446,1.61,50
"7230",1.395,1.37,10
"7231",0.65,1.65,70
"7232",0.1,1.8,70
"7233",0.185,1.69,70
"7234",1.552,1.49,20
"7235",0.397,1.47,100
"7236",2.574,1.37,30
"7237",0.426,1.6,70
"7238",2.27,1.38,20
"7239",0.867,1.56,30
"7240",0.135,1.81,70
"7241",1.068,1.38,10
"7242",1.565,1.5,30
"7243",0.103,1.75,100
"7244",1.729,1.53,10
"7245",1.536,1.48,17
"7246",1.614,1.33,10
"7247",2.027,1.36,10
"7248",4.354,0.91,10
"7249",0.208,1.44,100
"7250",0.581,1.56,100
"7251",0.128,1.76,100
"7252",1.167,1.3,10
"7253",0.149,1.6,70
"7254",1.991,1.19,30
"7255",1.182,1.43,10
"7256",0.298,1.66,50
"7257",0.939,1.38,10
"7258",0.511,1.6,30
"7259",0.125,1.8,50
"7260",0.871,1.52,30
"7261",1.691,1.33,22
"7262",0.207,1.56,100
"7263",1.249,1.42,30
"7264",2.043,1.32,30
"7265",0.86,1.46,10
"7266",0.691,1.48,50
"7267",0.873,1.43,10
"7268",0.149,1.7,80
"7269",0.097,1.64,100
"7270",1.02,1.59,30
"7271",1.117,1.47,30
"7272",0.197,1.82,100
"7273",1.883,1.49,10
"7274",1.685,1.52,30
"7275",1.046,1.55,30
"7276",0.271,1.62,50
"7277",0.326,1.47,50
"7278",0.785,1.64,37
"7279",0.28,1.49,70
"7280",0.398,1.42,50
"7281",0.498,1.42,100
"7282",0.107,1.78,100
"7283",0.221,1.8,50
"7284",0.836,1.52,10
"7285",1.299,1.42,30
"7286",0.186,1.63,70
"7287",1.868,1.21,30
"7288",4.391,1.31,10
"7289",0.229,1.79,50
"7290",0.406,1.56,50
"7291",0.051,1.71,80
"7292",0.3,1.58,100
"7293",1.793,1.38,50
"7294",1.784,1.49,30
"7295",2.698,1.25,30
"7296",0.78,1.29,50
"7297",0.316,1.43,100
"7298",4.312,1.13,10
"7299",0.996,1.46,30
"7300",1.333,1.44,10
"7301",0.041,1.66,100
"7302",0.831,1.73,30
"7303",0.21,1.56,70
"7304",0.089,2,100
"7305",1.553,1.44,10
"7306",0.181,1.67,100
"7307",1.685,1.43,50
"7308",0.923,1.46,30
"7309",0.171,1.77,70
"7310",0.067,1.65,80
"7311",0.666,1.67,36
"7312",0.447,1.55,84
"7313",1.017,1.67,30
"7314",2.009,1.63,50
"7315",2.512,1.25,30
"7316",0.278,1.6,70
"7317",0.245,1.51,50
"7318",0.311,1.42,70
"7319",4.398,1.06,10
"7320",0.139,1.6,100
"7321",0.916,1.55,10
"7322",0.209,1.68,70
"7323",0.161,1.61,93
"7324",1.724,1.15,10
"7325",0.86,1.55,30
"7326",0.138,1.77,100
"7327",0.154,1.73,100
"7328",0.788,1.61,30
"7329",1.24,1.5,30
"7330",0.222,1.58,100
"7331",1.438,1.26,10
"7332",3.377,1.16,30
"7333",1.741,1.37,30
"7334",2.448,1.32,50
"7335",0.521,1.5,50
"7336",0.21,1.71,50
"7337",0.612,1.69,50
"7338",0.243,1.7,70
"7339",0.406,1.66,40
"7340",1.907,1.41,90
"7341",0.139,1.75,100
"7342",1.627,1.53,50
"7343",0.441,1.49,40
"7344",1.229,1.48,30
"7345",0.164,1.57,100
"7346",0.495,1.53,50
"7347",0.174,1.63,100
"7348",1.245,1.41,10
"7349",0.261,1.53,70
"7350",0.979,1.53,21
"7351",1.589,1.43,10
"7352",0.075,1.71,70
"7353",0.067,1.75,100
"7354",0.442,1.56,50
"7355",3.1,1.34,30
"7356",1.638,1.25,10
"7357",1.106,1.47,10
"7358",0.765,1.66,30
"7359",0.294,1.66,50
"7360",1.335,1.41,10
"7361",0.857,1.55,50
"7362",0.045,1.63,100
"7363",2.485,1.34,20
"7364",0.328,1.72,50
"7365",0.184,1.69,70
"7366",0.206,1.71,100
"7367",1.272,1.36,10
"7368",0.221,1.65,70
"7369",1.088,1.41,10
"7370",0.142,1.85,70
"7371",1.202,1.11,10
"7372",1.832,1.47,30
"7373",0.514,1.52,50
"7374",0.17,1.43,50
"7375",1.133,1.5,10
"7376",2.668,1.07,10
"7377",2.745,1.29,23
"7378",2.57,1.16,30
"7379",0.819,1.8,50
"7380",3.872,0.95,10
"7381",0.134,1.74,100
"7382",0.907,1.3,10
"7383",0.335,1.66,50
"7384",0.173,1.8,50
"7385",0.713,1.58,50
"7386",1.435,1.5,21
"7387",0.198,1.62,70
"7388",0.258,1.77,100
"7389",0.332,1.39,50
"7390",1.99,1.41,10
"7391",1.04,1.66,30
"7392",0.912,1.27,10
"7393",1.018,1.59,30
"7394",0.366,1.54,50
"7395",1.156,1.5,50
"7396",1.032,1.28,10
"7397",1.163,0.96,30
"7398",0.045,1.54,100
"7399",0.75,1.55,50
"7400",0.084,1.87,70
"7401",0.278,1.53,100
"7402",0.952,1.36,10
"7403",0.257,1.61,100
"7404",1.155,1.41,30
"7405",1.342,1.32,10
"7406",6.239,0.81,20
"7407",2.593,1.05,20
"7408",0.263,1.51,100
"7409",0.149,1.74,100
"7410",0.099,1.78,100
"7411",0.091,1.77,70
"7412",0.084,1.69,50
"7413",1.022,1.63,30
"7414",1.324,1.41,10
"7415",1.46,1.28,30
"7416",1.114,1.37,10
"7417",0.227,1.71,70
"7418",0.375,1.39,100
"7419",1.89,1.14,30
"7420",0.05,1.45,100
"7421",1.885,1.31,10
"7422",1.321,1.43,10
"7423",0.996,1.34,10
"7424",3.603,1.39,30
"7425",0.025,1.51,100
"7426",0.447,1.72,50
"7427",0.148,1.42,70
"7428",1.936,1.33,20
"7429",0.947,1.48,50
"7430",0.687,1.24,80
"7431",0.965,1.25,100
"7432",0.055,1.87,100
"7433",0.268,1.77,50
"7434",0.187,1.5,80
"7435",1.199,1.48,30
"7436",0.883,1.55,10
"7437",0.83,1.3,10
"7438",0.334,1.56,62
"7439",1.123,1.58,30
"7440",0.582,1.59,50
"7441",1.442,1.46,30
"7442",1.203,1.15,10
"7443",2.185,1.25,10
"7444",2.368,1.3,30
"7445",0.185,1.78,100
"7446",0.555,1.53,40
"7447",2.142,1.2,10
"7448",0.14,1.74,100
"7449",0.323,1.5,70
"7450",0.918,1.45,30
"7451",0.312,1.53,50
"7452",0.146,1.8,70
"7453",0.135,1.74,70
"7454",1.778,1.29,30
"7455",1.839,1.4,30
"7456",0.67,1.54,50
"7457",0.096,1.61,100
"7458",1.84,1.59,30
"7459",3.14,1.15,10
"7460",0.364,1.52,70
"7461",0.056,1.62,50
"7462",0.715,1.6,50
"7463",0.032,1.78,70
"7464",1.203,1.42,30
"7465",0.661,1.25,10
"7466",0.451,1.45,50
"7467",1.892,1.31,10
"7468",1.154,1.31,10
"7469",1.728,1.18,10
"7470",4.321,0.84,30
"7471",1.735,1.48,30
"7472",0.068,1.73,70
"7473",0.214,1.72,70
"7474",1.489,1.47,30
"7475",0.606,1.42,70
"7476",0.47,1.63,70
"7477",0.168,1.69,100
"7478",0.638,1.57,30
"7479",0.17,1.76,50
"7480",1.151,1.63,30
"7481",1.373,1.44,30
"7482",0.3,1.44,70
"7483",0.983,1.39,30
"7484",1.173,1.55,10
"7485",1.411,1.24,10
"7486",1.829,1.18,10
"7487",1.094,1.57,30
"7488",0.412,1.59,50
"7489",0.118,1.72,40
"7490",0.789,1.75,40
"7491",0.835,1.53,30
"7492",2.689,1.42,30
"7493",0.419,1.6,50
"7494",2.154,1.2,18
"7495",1.465,1.38,30
"7496",1.175,1.41,10
"7497",1.278,1.24,88
"7498",0.129,1.78,50
"7499",0.814,1.62,30
"7500",0.202,1.72,50
"7501",0.353,1.5,70
"7502",1.155,1.56,30
"7503",0.475,1.51,50
"7504",0.286,1.54,70
"7505",1.646,1.28,10
"7506",0.1,1.88,100
"7507",0.185,1.62,70
"7508",1.212,1.34,30
"7509",1.455,1.47,30
"7510",0.957,1.52,30
"7511",0.505,1.73,50
"7512",1.011,1.74,30
"7513",0.066,1.73,70
"7514",1.226,1.47,10
"7515",0.068,1.5,70
"7516",0.751,1.5,30
"7517",4.291,1.24,10
"7518",1.046,1.17,10
"7519",0.236,1.5,50
"7520",0.971,1.29,35
"7521",1.186,1.55,40
"7522",0.725,1.41,50
"7523",0.989,1.44,30
"7524",1.632,1.37,10
"7525",0.264,1.63,50
"7526",0.063,1.82,100
"7527",1.169,1.39,10
"7528",0.351,1.53,70
"7529",1.52,1.43,30
"7530",1.666,1.23,10
"7531",0.844,1.67,30
"7532",0.112,1.54,70
"7533",0.914,1.56,70
"7534",1.077,1.46,30
"7535",0.695,1.4,70
"7536",0.29,1.49,70
"7537",0.467,1.48,70
"7538",1.368,1.36,10
"7539",1.169,1.48,10
"7540",0.233,1.64,70
"7541",0.956,1.14,30
"7542",2.126,1.45,50
"7543",2.056,1.16,16
"7544",0.609,1.66,35
"7545",3.146,1.28,30
"7546",2.022,1.55,10
"7547",0.312,1.71,82
"7548",1.095,1.5,10
"7549",2.318,1.36,30
"7550",0.088,1.76,70
"7551",0.07,1.65,70
"7552",0.227,1.69,50
"7553",0.23,1.43,100
"7554",0.138,1.6,100
"7555",0.155,1.82,100
"7556",0.478,1.47,70
"7557",2.286,1.14,30
"7558",1.388,1.24,10
"7559",3.348,1.21,10
"7560",2.417,1.35,35
"7561",1.12,1.44,10
"7562",1.088,1.39,10
"7563",0.023,1.69,100
"7564",0.585,1.5,50
"7565",0.252,1.61,70
"7566",1.612,1.37,30
"7567",0.477,1.45,100
"7568",0.099,1.7,100
"7569",3.453,1.04,20
"7570",0.211,1.76,90
"7571",0.165,1.72,70
"7572",0.122,1.71,100
"7573",0.168,1.68,70
"7574",0.775,1.5,30
"7575",0.087,1.7,100
"7576",0.845,1.44,40
"7577",0.153,1.81,100
"7578",2.972,1.29,30
"7579",0.162,1.51,88
"7580",1.656,1.46,30
"7581",0.118,1.66,70
"7582",0.148,1.76,70
"7583",0.132,1.76,70
"7584",1.172,1.37,10
"7585",0.859,1.5,10
"7586",1.58,1.32,10
"7587",1.412,1.41,10
"7588",0.892,1.53,30
"7589",1.428,1.37,10
"7590",0.081,1.66,70
"7591",1.894,1.47,30
"7592",5.056,0.98,10
"7593",0.229,1.66,50
"7594",0.198,1.66,60
"7595",0.094,1.68,80
"7596",0.458,1.56,40
"7597",1.717,1.29,10
"7598",1.746,1.28,20
"7599",0.72,1.61,30
"7600",1.079,1.23,30
"7601",0.166,1.63,100
"7602",0.54,1.66,38
"7603",0.199,1.8,50
"7604",1.814,1.24,10
"7605",0.771,1.55,70
"7606",0.407,1.62,70
"7607",0.5,1.48,50
"7608",0.112,1.65,70
"7609",0.882,1.23,10
"7610",2.72,1.33,100
"7611",0.699,1.66,20
"7612",3.401,1.16,10
"7613",1.017,1.47,30
"7614",0.388,1.55,50
"7615",0.841,1.5,100
"7616",1.021,1.22,10
"7617",1.915,1.52,40
"7618",1.128,1.59,10
"7619",1.137,1.6,30
"7620",1.302,1.64,10
"7621",0.843,1.57,30
"7622",0.43,1.62,50
"7623",3.923,1.05,23
"7624",0.2,1.65,40
"7625",0.131,1.45,60
"7626",1.647,1.36,30
"7627",1.218,1.33,10
"7628",0.246,1.77,50
"7629",1.576,1.53,24
"7630",1.77,1.49,30
"7631",0.919,1.59,30
"7632",0.741,1.62,30
"7633",0.245,1.56,70
"7634",0.664,1.43,30
"7635",3.298,1.14,10
"7636",0.028,1.73,100
"7637",1.443,1.41,30
"7638",3.367,1.5,10
"7639",0.22,1.52,70
"7640",0.424,1.59,100
"7641",1.922,1.19,10
"7642",0.044,1.46,70
"7643",0.151,1.68,100
"7644",0.032,1.74,100
"7645",0.021,1.62,100
"7646",0.532,1.59,30
"7647",1.108,1.52,10
"7648",0.234,1.56,100
"7649",2.503,1.15,20
"7650",1.328,1.4,30
"7651",0.707,1.51,70
"7652",1.375,1.45,30
"7653",0.618,1.65,50
"7654",1.209,1.23,30
"7655",1.621,1.2,50
"7656",0.131,1.64,50
"7657",1.35,1.48,30
"7658",1.053,1.55,10
"7659",0.319,1.54,70
"7660",3.003,1.31,10
"7661",0.626,1.72,40
"7662",0.204,1.47,70
"7663",1.079,1.34,30
"7664",0.177,1.79,50
"7665",0.215,1.6,60
"7666",0.937,1.6,30
"7667",1.096,1.5,30
"7668",0.844,1.38,40
"7669",0.12,1.69,70
"7670",1.689,1.44,10
"7671",0.807,1.28,10
"7672",0.099,1.71,70
"7673",0.26,1.46,50
"7674",1.027,1.61,30
"7675",3.78,0.86,10
"7676",0.065,1.63,100
"7677",0.93,1.54,39
"7678",0.902,1.51,50
"7679",1.865,1.19,10
"7680",0.057,1.71,50
"7681",0.355,1.72,50
"7682",0.172,1.62,100
"7683",0.167,1.69,100
"7684",0.123,1.79,100
"7685",1.122,1.62,30
"7686",2.44,1.05,10
"7687",0.43,1.5,100
"7688",1.771,1.36,50
"7689",0.931,1.33,10
"7690",1.225,1.29,50
"7691",1.838,1.44,30
"7692",0.296,1.55,50
"7693",0.199,1.42,100
"7694",1.504,1.28,10
"7695",0.551,1.51,70
"7696",0.189,1.6,70
"7697",4.244,0.86,10
"7698",0.36,1.55,50
"7699",0.114,1.83,100
"7700",0.515,1.65,70
"7701",0.87,1.23,30
"7702",0.139,1.58,70
"7703",0.763,1.75,30
"7704",2.954,1.28,10
"7705",3.868,1.12,23
"7706",0.694,1.47,50
"7707",0.291,1.63,50
"7708",7.913,0.94,10
"7709",1.007,1.35,30
"7710",0.062,1.77,100
"7711",1.017,1.32,10
"7712",1.41,1.44,30
"7713",0.545,1.72,100
"7714",0.066,1.64,70
"7715",1.314,1.31,10
"7716",1.722,1.43,30
"7717",1.119,1.64,30
"7718",0.325,1.76,50
"7719",0.181,1.7,50
"7720",0.158,1.79,40
"7721",0.706,1.55,50
"7722",0.19,1.55,70
"7723",1.118,1.14,70
"7724",0.216,1.73,41
"7725",1.607,1.31,10
"7726",1.141,1.42,30
"7727",0.709,1.48,30
"7728",0.196,1.65,50
"7729",0.861,1.57,30
"7730",0.183,1.74,50
"7731",0.165,1.71,70
"7732",0.644,1.47,10
"7733",2.513,1.18,10
"7734",0.856,1.68,30
"7735",0.804,1.57,30
"7736",1.7,1.36,30
"7737",0.057,1.75,100
"7738",1.153,1.16,10
"7739",0.981,1.54,30
"7740",0.108,1.59,100
"7741",0.352,1.46,50
"7742",0.201,1.75,70
"7743",0.259,1.51,50
"7744",1.315,1.52,10
"7745",0.515,1.46,50
"7746",0.401,1.21,70
"7747",2.298,1.3,10
"7748",2.341,1.27,10
"7749",0.082,1.57,100
"7750",0.8,1.68,30
"7751",0.015,1.61,100
"7752",3.329,1.24,10
"7753",0.914,1.67,38
"7754",0.202,1.67,70
"7755",0.978,1.27,10
"7756",3.545,1.19,50
"7757",0.604,1.57,10
"7758",0.584,1.35,40
"7759",1.009,1.61,30
"7760",0.138,1.7,70
"7761",0.566,1.62,30
"7762",0.806,1.45,30
"7763",0.332,1.57,70
"7764",0.074,1.72,100
"7765",0.43,1.64,50
"7766",0.459,1.57,50
"7767",0.493,1.55,100
"7768",1.151,1.45,50
"7769",0.345,1.4,70
"7770",0.049,1.63,100
"7771",1.382,1.48,50
"7772",0.999,1.34,100
"7773",1.091,1.4,20
"7774",0.174,1.73,100
"7775",0.352,1.56,70
"7776",1.586,1.25,10
"7777",1.555,1.32,10
"7778",0.325,1.59,70
"7779",3.761,1.1,10
"7780",0.872,1.47,50
"7781",0.832,1.75,38
"7782",0.334,1.66,50
"7783",0.804,1.56,30
"7784",1.55,1.51,30
"7785",0.073,1.58,100
"7786",1.758,1.44,30
"7787",1.024,1.53,30
"7788",0.263,1.61,50
"7789",1.287,1.23,50
"7790",3.214,1.02,20
"7791",1.663,1.24,20
"7792",0.236,1.53,50
"7793",4.81,1.01,10
"7794",0.617,1.34,70
"7795",0.128,1.58,100
"7796",1.783,1.33,30
"7797",0.104,1.78,70
"7798",0.509,1.5,30
"7799",0.824,1.53,10
"7800",0.396,1.48,70
"7801",0.168,1.66,100
"7802",2.332,1.34,18
"7803",3.194,1.22,10
"7804",0.1,1.68,100
"7805",0.29,1.68,100
"7806",0.918,1.29,30
"7807",0.119,1.79,100
"7808",0.25,1.63,100
"7809",2.237,1.31,30
"7810",1.713,1.33,20
"7811",0.305,1.51,50
"7812",1.268,1.39,10
"7813",0.699,1.69,30
"7814",0.893,1.7,30
"7815",1.342,1.28,10
"7816",1.198,1.26,20
"7817",0.099,1.43,100
"7818",5.036,1.03,10
"7819",0.298,1.55,50
"7820",0.33,1.57,50
"7821",0.868,1.58,40
"7822",0.28,1.71,50
"7823",0.245,1.55,100
"7824",1.277,1.55,30
"7825",0.956,1.46,30
"7826",0.178,1.52,70
"7827",1.032,1.51,10
"7828",0.988,1.49,30
"7829",0.512,1.73,50
"7830",0.283,1.67,100
"7831",1.154,1.42,30
"7832",1.308,1.68,30
"7833",1.551,1.45,10
"7834",1.327,1.42,10
"7835",3.725,0.92,10
"7836",2.71,1.37,30
"7837",0.296,1.71,50
"7838",1.072,1.19,10
"7839",0.134,1.75,70
"7840",0.066,1.77,100
"7841",1.288,1.39,30
"7842",0.121,1.53,90
"7843",1.928,1.41,30
"7844",0.197,1.51,70
"7845",0.292,1.34,40
"7846",0.713,1.62,30
"7847",1.263,1.51,39
"7848",0.305,1.61,70
"7849",1.483,1.64,60
"7850",0.046,1.51,100
"7851",5.452,0.93,10
"7852",0.076,1.75,70
"7853",1.233,1.32,80
"7854",0.613,1.47,50
"7855",3.684,1.16,30
"7856",0.434,1.68,70
"7857",1.336,1.5,30
"7858",0.49,1.42,100
"7859",1.055,1.22,10
"7860",1.06,1.74,30
"7861",3.363,1.14,70
"7862",1.988,1.32,10
"7863",1.347,1.68,30
"7864",0.242,1.49,80
"7865",0.452,1.58,80
"7866",0.754,1.43,70
"7867",0.171,1.63,100
"7868",5.776,1.11,10
"7869",0.062,1.84,100
"7870",0.9,1.31,10
"7871",8.274,0.95,50
"7872",2.219,0.94,10
"7873",1.284,1.45,10
"7874",1.146,1.5,30
"7875",0.065,1.54,70
"7876",0.491,1.7,85
"7877",0.182,1.62,100
"7878",1.124,1.55,10
"7879",0.149,1.53,70
"7880",0.2,1.54,50
"7881",0.901,1.25,10
"7882",0.035,1.58,100
"7883",0.494,1.6,70
"7884",0.249,1.67,50
"7885",1.201,1.72,50
"7886",0.269,1.62,70
"7887",0.164,1.67,50
"7888",1.086,1.42,70
"7889",1.075,1.43,10
"7890",1.413,1.47,30
"7891",0.13,1.52,100
"7892",0.43,1.64,50
"7893",0.259,1.47,70
"7894",0.997,1.56,50
"7895",0.129,1.76,100
"7896",0.249,1.58,70
"7897",1.448,1.32,10
"7898",0.841,1.57,10
"7899",0.57,1.57,50
"7900",0.441,1.61,50
"7901",0.882,1.42,10
"7902",1.369,1.17,10
"7903",1.338,1.29,30
"7904",2.517,1.25,30
"7905",0.971,1.55,10
"7906",0.498,1.63,50
"7907",0.063,1.83,100
"7908",0.183,1.65,100
"7909",1.165,1.63,30
"7910",0.106,1.47,70
"7911",2.308,1.19,10
"7912",0.224,1.65,70
"7913",1.334,1.59,20
"7914",0.439,1.65,40
"7915",1.839,1.01,10
"7916",1.966,1.47,30
"7917",0.055,1.71,70
"7918",1.196,1.42,100
"7919",0.458,1.57,50
"7920",0.107,1.56,100
"7921",0.285,1.53,100
"7922",1.115,1.42,30
"7923",0.185,1.77,70
"7924",0.176,1.42,78
"7925",0.824,1.61,30
"7926",0.147,1.71,100
"7927",1.306,1.41,50
"7928",0.21,1.61,70
"7929",0.363,1.68,70
"7930",0.769,1.44,40
"7931",0.12,1.67,100
"7932",0.246,1.67,100
"7933",0.943,1.46,10
"7934",1.294,1.44,30
"7935",0.956,1.69,30
"7936",0.556,1.54,100
"7937",3.105,1.18,30
"7938",1.143,1.37,10
"7939",0.111,1.77,85
"7940",1.572,1.28,10
"7941",2.167,1.43,10
"7942",0.173,1.59,70
"7943",0.272,1.75,38
"7944",1.716,1.19,10
"7945",0.112,1.96,70
"7946",0.453,1.42,60
"7947",1.457,1.41,30
"7948",0.628,1.63,40
"7949",8.342,0.81,30
"7950",2.55,1.05,10
"7951",1.299,1.39,30
"7952",0.191,1.61,70
"7953",0.827,1.44,10
"7954",0.227,1.56,50
"7955",0.661,1.71,40
"7956",1.11,1.59,30
"7957",0.353,1.69,50
"7958",0.227,1.73,50
"7959",0.165,1.72,70
"7960",0.2,1.79,50
"7961",0.112,1.57,100
"7962",1.104,1.53,20
"7963",0.163,1.75,100
"7964",0.163,1.7,70
"7965",1.599,1.45,30
"7966",0.259,1.69,50
"7967",0.14,1.65,100
"7968",0.142,1.72,100
"7969",0.122,1.74,70
"7970",0.568,1.47,50
"7971",1.158,1.26,10
"7972",0.206,1.59,70
"7973",4.095,1.18,10
"7974",1.308,1.26,10
"7975",2.06,1.36,30
"7976",0.812,1.64,30
"7977",0.77,1.38,30
"7978",1.954,1.27,38
"7979",1.035,1.48,30
"7980",0.925,1.2,10
"7981",3.75,1.16,30
"7982",2.203,1.33,20
"7983",0.168,1.67,70
