"","TOC","BD_fine","depth"
"347",2.308,1.35,30
"348",1.081,1.63,50
"349",0.689,1.63,70
"350",0.917,1.32,100
"351",0.036,1.45,100
"352",0.097,1.67,100
"353",0.034,1.69,100
"354",0.131,1.55,90
"355",0.043,1.56,100
"356",1.529,1.17,10
"357",1.454,1.34,20
"358",0.202,1.52,50
"359",0.132,1.61,70
"360",0.295,1.56,50
"361",0.112,1.57,70
"362",0.032,1.57,70
"363",0.016,1.67,100
"364",0.538,1.49,70
"365",0.369,1.54,100
"366",2.45,1.11,10
"367",2.347,1.42,30
"368",0.042,1.58,70
"369",0.473,1.74,50
"370",0.775,1.57,50
"371",0.222,1.72,50
"372",0.086,1.73,70
"373",0.067,1.77,100
"374",0.074,1.54,70
"375",0.038,1.65,100
"376",1.429,1.53,30
"377",0.852,1.32,70
"378",0.273,1.55,90
"379",0.155,1.78,100
"380",1.357,1.35,30
"381",1.489,1.11,10
"382",1.457,1.35,30
"383",0.088,1.67,70
"384",0.064,1.7,100
"385",3.062,1.07,10
"386",2.992,1.32,30
"387",1.581,1.53,50
"388",0.243,1.63,70
"389",0.109,1.79,100
"390",1.694,1.51,30
"391",0.453,1.57,50
"392",0.1,1.71,100
"393",0.158,1.59,50
"394",0.106,1.6,100
"395",5.804,1.1,50
"396",2.861,0.61,70
"397",2.673,0.86,95
"398",0.386,1.69,100
"399",1.824,1.26,10
"400",1.75,1.38,30
"401",1.817,1.44,50
"402",1.109,1.36,70
"403",0.214,1.64,90
"404",2.359,1.39,50
"405",2.169,1.36,50
"406",0.498,1.76,50
"407",1.839,1.41,70
"408",0.242,1.61,85
"409",0.116,1.64,100
"410",0.214,1.73,70
"411",0.265,1.64,100
"412",0.119,1.7,70
"413",0.171,1.61,100
"414",0.1,1.71,100
"415",0.339,1.72,100
"416",0.074,1.7,70
"417",0.099,1.58,90
"418",0.096,1.55,100
"419",1.058,1.54,50
"420",0.36,1.64,70
"421",0.148,1.56,100
"422",0.171,1.58,100
"423",0.065,1.74,70
"424",8.209,0.78,10
"425",2.616,1.4,10
"426",0.408,1.51,40
"427",0.126,1.71,50
"428",0.05,1.76,80
"429",3.205,1.01,100
"430",0.553,1.53,30
"431",0.081,1.55,50
"432",0.055,1.6,70
"433",0.067,1.76,100
"434",1.448,1.49,50
"435",0.871,1.51,70
"436",0.089,1.69,100
"437",0.126,1.69,70
"438",0.101,1.49,100
"439",8.461,0.94,10
