depth increment	TOC	BD_fine	BD_all	Steingehalt
70	0.359	1.62	1.62	0
90	1.207	1.22	1.22	0
70	0.365	0.96	0.96	0
100	0.082	1.51	1.52	0
70	0.256	1.6	1.6	0
100	0.128	1.65	1.65	0
10	1.912	1.32	1.32	0
50	0.821	1.44	1.44	0
50	0.233	1.55	1.55	0
85	0.192	1.55	1.55	0
10	0.957	1.49	1.49	0
50	0.247	1.64	1.64	0
70	0.058	1.57	1.57	0
50	0.988	0.99	1	0
70	0.453	0.83	0.92	0
100	0.622	1.28	1.3	0
100	7.687	0.44	0.45	0
100	1.127	1.42	1.42	0
50	0.582	1.64	1.64	0
70	0.347	1.66	1.66	0
100	0.12	1.6	1.6	0
90	1.253	1.13	1.13	0
100	2.438	0.77	0.77	0
50	0.178	1.34	1.34	0
70	0.142	1.56	1.56	0
10	4.927	1.16	1.16	0
100	0.105	1.59	1.59	0
50	0.185	1.73	1.73	0
70	0.22	1.77	1.77	0
100	0.092	1.73	1.73	0
70	0.859	1.41	1.41	0
10	1.406	1.35	1.36	0
30	1.268	1.54	1.54	0
100	0.041	1.7	1.7	0
50	0.437	1.43	1.43	0
70	0.211	1.41	1.41	0
84	0.151	1.46	1.46	0
100	0.051	1.69	1.69	0
88	0.378	1.35	1.35	0
100	0.174	1.5	1.5	0
100	0.031	1.43	1.43	0
10	2.06	1.02	1.05	0
30	2.308	1.35	1.35	0
50	1.081	1.63	1.63	0
70	0.689	1.63	1.63	0
100	0.917	1.32	1.35	0
100	0.036	1.45	1.45	0
100	0.097	1.67	1.67	0
100	0.034	1.69	1.69	0
90	0.131	1.55	1.55	0
100	0.043	1.56	1.56	0
10	1.529	1.17	1.17	0
20	1.454	1.34	1.34	0
50	0.202	1.52	1.52	0
70	0.132	1.61	1.61	0
50	0.295	1.56	1.56	0
70	0.112	1.57	1.57	0
70	0.032	1.57	1.57	0
100	0.016	1.67	1.67	0
70	0.538	1.49	1.49	0
100	0.369	1.54	1.54	0
10	2.45	1.11	1.12	0
30	2.347	1.42	1.42	0
70	0.042	1.58	1.58	0
50	0.473	1.74	1.74	0
50	0.775	1.57	1.57	0
50	0.222	1.72	1.72	0
70	0.086	1.73	1.73	0
100	0.067	1.77	1.77	0
70	0.074	1.54	1.54	0
100	0.038	1.65	1.65	0
